City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Mirpur Sakro,PK,24.5474,67.6277,83.66,77,100,19.48,overcast clouds
270,Santa Cruz,BO,-17.8,-63.1667,71.89,60,0,10.51,clear sky
271,Umm Lajj,SA,25.0213,37.2685,84.25,53,5,7.23,clear sky
272,Kibaek,DK,56.0317,8.857,51.94,93,13,4.16,few clouds
273,Moindou,NC,-21.6924,165.677,72.79,54,4,11.99,clear sky
274,Tazovskiy,RU,67.4667,78.7,62.83,48,40,14.07,scattered clouds
275,Jobat,IN,22.4167,74.5667,80.4,76,89,14.43,overcast clouds
276,Obo,CF,5.3998,26.4869,66.58,88,100,1.48,overcast clouds
277,Dali,CN,25.7,100.1833,65.55,80,89,4.25,overcast clouds
278,Sabzevar,IR,36.2126,57.6819,72.97,43,0,9.06,clear sky
279,Kurchum,KZ,48.5722,83.6542,67.84,54,4,6.31,clear sky
280,Erzin,TR,36.9559,36.2,70.74,88,39,1.72,scattered clouds
281,Sihora,IN,23.4833,80.1167,76.44,84,43,6.69,scattered clouds
282,Pochutla,MX,15.7432,-96.4661,75.11,94,94,2.26,overcast clouds
283,Muros,ES,42.7762,-9.0603,55.69,92,100,4.68,overcast clouds
284,Manoel Urbano,BR,-8.8389,-69.2597,72.41,83,9,0.92,clear sky
285,Lagoa,PT,39.05,-27.9833,62.51,74,82,21.3,broken clouds
286,Morros,BR,-9.4467,-46.3003,74.53,34,12,2.21,few clouds
287,Kasongo-Lunda,CD,-6.4667,16.8167,66.13,62,97,1.7,overcast clouds
288,Gondanglegi,ID,-7.7479,112.0132,79.54,82,23,12.15,few clouds
289,Tashtyp,RU,52.7939,89.8983,58.14,71,100,1.34,overcast clouds
290,Long Branch,US,40.3043,-73.9924,70.21,42,0,8.05,clear sky
291,Tautira,PF,-17.7333,-149.15,78.01,76,40,19.73,scattered clouds
292,Vieux-Habitants,GP,16.0589,-61.7659,78.71,76,93,11.9,overcast clouds
293,Beatrice,US,40.2681,-96.747,89.46,55,0,18.57,clear sky
294,Alekseyevka,RU,50.6309,38.6903,60.64,78,8,8.21,clear sky
295,Kupang,ID,-10.1667,123.5833,82.51,55,14,12.35,few clouds
296,Natal,BR,-5.795,-35.2094,74.05,100,0,3.44,clear sky
297,Ofaqim,IL,31.3141,34.6203,65.71,82,0,3.13,clear sky
298,Talaya,RU,61.3833,152.75,66.72,40,87,4.79,overcast clouds
299,Saint-Denis,FR,48.9167,2.3333,62.19,93,100,9.22,moderate rain
300,Huarmey,PE,-10.0681,-78.1522,63.9,82,4,11.03,clear sky
301,Saint-Georges,GD,12.0564,-61.7485,79.18,79,0,15.17,clear sky
302,Saint George,US,37.1041,-113.5841,85.62,8,0,13.8,clear sky
303,Vitim,RU,59.4511,112.5578,57.83,97,100,2.95,light rain
304,Brus Laguna,HN,15.75,-84.4833,75.61,96,100,6.26,overcast clouds
305,Bubaque,GW,11.2833,-15.8333,80.19,77,100,19.3,overcast clouds
306,Arlit,NE,18.7369,7.3853,90.37,25,6,7.29,clear sky
307,Marzuq,YE,14.4,46.4667,80.15,53,100,6.35,overcast clouds
308,Kaele,CM,10.1092,14.4508,75.47,76,100,11.34,overcast clouds
309,Ust-Tsilma,RU,65.441,52.1498,51.13,68,100,2.53,overcast clouds
310,Souillac,MU,-20.5167,57.5167,69.53,74,44,9.13,scattered clouds
311,Munai,PH,7.9758,124.0636,80.24,69,45,2.64,scattered clouds
312,Esperance,AU,-33.8667,121.9,51.64,81,93,12.55,overcast clouds
313,Skorodnoye,RU,51.071,37.2276,60.13,81,2,10.13,clear sky
314,Ewa Beach,US,21.3156,-158.0072,84.15,56,0,17.27,clear sky
315,Nelson Bay,AU,-32.7167,152.15,64.99,85,100,1.01,overcast clouds
316,Omboue,GA,-1.5746,9.2618,71.53,91,39,8.77,scattered clouds
317,Colombo,LK,6.9319,79.8478,76.95,83,100,9.64,overcast clouds
318,Okahandja,NA,-21.9833,16.9167,42.93,93,83,7.63,broken clouds
319,Mehamn,NO,71.0357,27.8492,42.75,100,100,0.0,light intensity drizzle
320,Oranjemund,NA,-28.55,16.4333,54.37,59,27,11.97,scattered clouds
321,Khudumelapye,BW,-23.8833,24.75,55.11,47,0,8.61,clear sky
322,Lavrentiya,RU,65.5833,-171.0,57.15,47,6,13.35,clear sky
323,Marathon,US,44.9,-89.7668,80.13,46,0,9.22,clear sky
324,Ancud,CL,-41.8697,-73.8203,39.22,90,70,7.78,broken clouds
325,Arawa,PG,-6.2132,155.5367,86.7,57,0,4.38,clear sky
326,Carnarvon,AU,-24.8667,113.6333,65.41,70,0,15.37,clear sky
327,Raudeberg,NO,61.9875,5.1352,47.86,88,0,12.08,clear sky
328,Sangar,RU,63.9242,127.4739,68.22,58,83,7.52,broken clouds
329,Limbang,MY,4.75,115.0,75.31,92,100,2.1,light rain
330,Sonkovo,RU,57.7782,37.1571,46.54,89,100,7.74,overcast clouds
331,Alyangula,AU,-13.8483,136.4192,79.99,66,100,12.82,overcast clouds
332,Korla,CN,41.7597,86.1469,80.04,22,100,4.61,overcast clouds
